ImageID,Genotype,Stained,LeafSide,CellAge,Cell#,Area,MeanCellFluorescence,IntegratedDensity,CorrectedTotalCellFluorescence
BdGT43B2 PDMPO abaxial snap09 100% 405 525 emission 200 msec exp 300 EM old.zvi,BdGT43B2,Y,AB,Old,1,288.687,7585.136,2189730.109,720562.7046
BdGT43B2 PDMPO abaxial snap08 100% 405 525 emission 200 msec exp 300 EM old.zvi,BdGT43B2,Y,AB,Old,2,283.203,7114.707,2014906.438,573647.8554
BdGT43B2 PDMPO abaxial snap08 100% 405 525 emission 200 msec exp 300 EM old.zvi,BdGT43B2,Y,AB,Old,3,171.109,8291.617,1418767.219,547970.2472
BdGT43B2 PDMPO abaxial snap07 100% 405 525 emission 200 msec exp 300 EM old.zvi,BdGT43B2,Y,AB,Old,4,344.714,9509.057,3277902.508,1523606.081
BdGT43B2 PDMPO abaxial snap06 100% 405 525 emission 200 msec exp 300 EM old.zvi,BdGT43B2,Y,AB,Old,5,244.938,7510.811,1839681.944,593159.1504
BdGT43B2 PDMPO abaxial snap05 100% 405 525 emission 200 msec exp 300 EM old.zvi,BdGT43B2,Y,AB,Old,6,236.384,8869.208,2096543.142,893552.8178
BdGT43B2 PDMPO abaxial snap04 100% 405 525 emission 200 msec exp 300 EM.zvi,BdGT43B2,Y,AB,Old,7,305.917,6073.62,1858020.976,301167.7583
BdGT43B2 PDMPO abaxial snap03 100% 405 525 emission 200 msec exp 300 EM old.zvi,BdGT43B2,Y,AB,Old,8,261.144,8985.531,2346519.929,1017522.597
BdGT43B2 PDMPO abaxial snap02 100% 405 525 emission 200 msec exp 300 EM old.zvi,BdGT43B2,Y,AB,Old,9,300.228,9102.505,2732826.101,1204924.978
BdGT43B2 PDMPO abaxial snap01 100% 405 525 emission 200 msec exp 300 EM old.zvi,BdGT43B2,Y,AB,Old,10,218.418,10701.776,2337463.531,1225904.624
BdGT43B2 PDMPO abaxial snap04 100% 405 525 emission 200 msec exp 300 EM young.zvi,BdGT43B2,Y,AB,Young,1,110.662,21650.233,2395857.781,1894950.886
BdGT43B2 PDMPO abaxial snap04 100% 405 525 emission 200 msec exp 300 EM young.zvi,BdGT43B2,Y,AB,Young,2,108.125,12892.673,1394015.358,904592.0868
BdGT43B2 PDMPO abaxial snap04 100% 405 525 emission 200 msec exp 300 EM young.zvi,BdGT43B2,Y,AB,Young,3,122.735,16173.333,1985033.104,1429478.281
